Date,Name,Year,Letterboxd URI
2025-01-02,Schindler's List,1993,https://boxd.it/2aq2
2025-01-02,The Silence of the Lambs,1991,https://boxd.it/2aHW
2025-01-02,Dune,2021,https://boxd.it/fA7G
2025-01-03,Gia,1998,https://boxd.it/1NUo
2025-01-05,The Matrix,1999,https://boxd.it/2a1m
2025-01-05,Joker,2019,https://boxd.it/h4cS
2025-01-05,Mulholland Drive,2001,https://boxd.it/297o
2025-01-06,Look Back,2024,https://boxd.it/LjA6
2025-01-06,A Clockwork Orange,1971,https://boxd.it/2aVE
2025-01-07,Inception,2010,https://boxd.it/1skk
2025-01-07,Come and See,1985,https://boxd.it/1w9q
2025-01-07,"Paris, Texas",1984,https://boxd.it/29Ts
2025-01-14,The New Mutants,2020,https://boxd.it/bjle
2025-01-14,Licorice Pizza,2021,https://boxd.it/qTKY
2025-01-14,La Haine,1995,https://boxd.it/2as8
2025-01-16,A Star Is Born,2018,https://boxd.it/aXgc
2025-01-16,La La Land,2016,https://boxd.it/a5fa
2025-01-16,About Time,2013,https://boxd.it/43bI
2025-01-17,Freaky Friday,2003,https://boxd.it/1WwK
2025-01-17,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw
2025-01-18,Gladiator,2000,https://boxd.it/2b9m
2025-01-19,The Pianist,2002,https://boxd.it/2aqc
2025-01-20,Se7en,1995,https://boxd.it/29zs
2025-01-23,Return to Silent Hill,2026,https://boxd.it/po3C
2025-01-24,Crash,1996,https://boxd.it/29n2
2025-02-01,A Silent Voice: The Movie,2016,https://boxd.it/d99c
2025-02-05,The Raid,2011,https://boxd.it/3hBy
2025-02-11,Memories of Murder,2003,https://boxd.it/1TSo
2025-02-11,Sound of Metal,2019,https://boxd.it/i7Q4
2025-02-11,Little Miss Sunshine,2006,https://boxd.it/29EW
2025-02-18,Lilya 4-ever,2002,https://boxd.it/1SyW
2025-02-18,Mamma Mia!,2008,https://boxd.it/1Tnq
2025-02-18,The Menu,2022,https://boxd.it/lScm
2025-02-18,The Bling Ring,2013,https://boxd.it/3lPY
2025-02-18,Notting Hill,1999,https://boxd.it/2aeK
2025-02-18,Juno,2007,https://boxd.it/210a
2025-02-21,Death Proof,2007,https://boxd.it/27GG
2025-03-24,Belle de Jour,1967,https://boxd.it/29Uq
2025-04-21,WandaVision,2021,https://boxd.it/sbGW
2025-05-04,The Girl Who Leapt Through Time,2006,https://boxd.it/1OPa
2025-05-04,Suzume,2022,https://boxd.it/yv7Y
2025-05-04,Grave of the Fireflies,1988,https://boxd.it/1RUM
2025-05-14,Split,2016,https://boxd.it/dgSy
2025-05-17,She's Out of My League,2010,https://boxd.it/1eww
2025-09-21,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8
2025-10-07,The Dictator,2012,https://boxd.it/2DEW
